103.138.182.3:80;BD
socks5://13.75.95.61:34917;US
socks5://60.12.77.163:7302;CN
socks4://79.165.225.234:4153;RU
socks4://103.147.119.3:4145;ID
socks5://167.86.92.2:12258;DE
socks5://72.221.232.155:4145;US
socks5://163.172.189.73:21930;GB
socks4://213.149.137.24:4153;BG
socks5://61.191.215.117:7300;CN
socks5://166.111.52.139:4781;CN
socks4://202.79.40.97:36953;NP
182.72.150.242:8080;IN
socks4://180.211.179.150:40153;BD
socks5://58.221.186.107:7302;CN
socks5://72.217.216.239:4145;US
socks4://202.159.35.41:443;ID
socks5://161.97.73.188:54832;DE
socks4://187.103.0.25:5678;BR
socks5://43.128.36.71:3389;SG
185.202.165.1:53281;ES
socks5://167.86.99.78:37254;DE
socks5://124.67.161.108:7300;CN
socks5://43.229.153.209:56273;HK
187.62.191.3:61456;BR
42.180.225.146:10161;CN
socks4://202.57.46.140:4145;PH
socks4://31.43.33.56:4153;UA
socks5://43.155.97.245:54789;CN
socks4://175.42.93.182:4145;CN
103.162.205.25:8181;ID
socks4://36.89.17.227:1080;ID
socks4://191.180.206.74:4153;BR
216.250.96.161:80;US
socks4://186.159.3.193:45524;CO
socks5://39.152.105.58:7302;CN
socks4://195.138.73.54:31145;UA
47.254.16.71:5008;US
socks4://181.204.2.242:5678;CO
socks4://89.190.44.185:4153;CZ
socks4://121.13.229.213:61401;CN
socks4://197.232.47.102:52567;KE
socks5://112.6.128.17:7302;CN
103.124.137.40:8080;ID
197.245.230.122:41026;ZA
103.240.168.138:6666;IN
socks5://51.15.201.113:31579;FR
socks5://222.188.101.12:7302;CN
socks4://217.217.175.32:4153;ES
socks4://1.55.241.4:4145;VN
85.25.199.122:5566;DE
socks4://1.20.184.75:4153;TH
socks5://72.195.34.42:4145;US
183.88.219.206:41564;TH
socks5://58.217.115.142:7302;CN
socks5://101.71.121.196:7302;CN
socks5://65.52.166.35:53335;US
socks4://201.220.128.85:3000;HN
socks5://175.178.106.135:10808;CN
socks5://72.195.34.59:4145;US
117.54.114.96:80;ID
socks5://119.6.43.176:7300;CN
socks4://187.177.30.154:4145;MX
24.14.225.100:8118;US
113.195.12.199:8085;CN
socks4://131.161.68.41:35944;BR
socks5://218.88.241.10:7302;CN
103.194.175.86:8080;ID
socks5://220.161.187.242:7302;CN
socks5://58.51.95.249:7302;CN
socks5://167.86.90.8:9956;DE
socks4://103.23.101.97:4145;ID
socks5://39.129.178.13:7300;CN
socks4://109.238.223.67:61150;CZ
socks5://60.208.110.246:7302;CN
socks5://104.236.45.251:32681;US
socks5://188.165.225.139:44995;FR
socks4://103.95.97.186:31244;BD
socks4://123.136.29.180:5678;BD
103.121.38.138:80;BD
103.158.121.175:8081;ID
socks5://61.178.172.95:7300;CN
